Long-run provincial and territorial data 1 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0229-01 (formerly CANSIM 384-5000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Geographical region of Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistical measures,Linked data 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-run variables,Household income per capita 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,419.8B,434.4B,457.4B,454.9B,420.8B,345.8B,285.0B,261.2B,289.1B,306.4B,321.7B,360.4B,361.8B,377.6B,427.2B,504.6B,631.2B,678.5B,738.1B,752.7B,786.6B,858.3B,968.6B,982.5B,"1,026.2B","1,182.8B","1,266.3B","1,295.4B","1,267.4B","1,332.3B","1,438.9B","1,488.1B","1,535.5B","1,582.9B","1,631.8B","1,635.9B","1,748.9B","1,827.2B","1,931.2B","2,093.2B","2,307.2B","2,485.5B","2,688.6B","2,938.6B","3,128.8B","3,352.0B","3,763.4B","4,341.0B","5,092.5B","5,855.8B","6,594.5B","7,206.6B","7,964.7B","8,868.4B","9,928.4B","11,553.2A","12,643.9A","13,281.4A","14,252.5A","15,359.8A","16,284.2A","17,309.3A","18,751.0A","19,955.2A","21,010.9A","21,485.9A","21,915.2A","22,330.7A","22,671.0A","23,203.9A","23,588.3A","24,454.6A","25,467.9A","26,512.0A","27,953.6A","28,990.3A","29,463.0A","30,197.3A","31,558.9A","32,846.2A","34,731.1A","36,614.5A","37,845.0A","37,648.9A","38,639.0A","40,158.1A","41,462.0A","42,666.1A","43,781.5A","45,512.7A","45,970.7A"
Newfoundland and Labrador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,498.2B,520.0B,567.3B,603.1B,651.9B,670.9B,703.1B,764.9B,805.3B,815.1B,850.4B,898.0B,969.0B,"1,002.5B","1,061.1B","1,127.9B","1,227.9B","1,377.8B","1,506.5B","1,638.8B","1,769.3B","1,945.9B","2,112.8B","2,384.2B","2,772.1B","3,387.0B","4,002.2B","4,489.9B","5,051.3B","5,467.5B","6,153.1B","6,652.8B","7,578.6A","8,501.3A","8,788.5A","9,333.4A","10,088.5A","10,919.5A","12,125.3A","13,275.2A","14,146.2A","15,177.5A","15,920.1A","16,405.5A","16,607.6A","17,388.3A","17,774.2A","17,922.2A","18,298.8A","19,129.6A","20,413.3A","21,813.9A","23,178.0A","24,035.4A","24,835.8A","25,701.5A","26,641.3A","28,978.6A","31,473.0A","33,668.7A","34,904.2A","36,126.5A","38,728.7A","41,420.8A","43,449.1A","44,933.1A","46,604.2A","47,589.6A"
Prince Edward Island,236.8B,248.0B,245.3B,267.4B,222.8B,178.2B,143.2B,130.7B,140.0B,170.5B,179.2B,210.7B,198.0B,219.0B,226.3B,235.9B,302.6B,351.3B,382.6B,429.8B,456.4B,469.1B,516.5B,563.1B,571.7B,649.9B,774.0B,640.0B,668.7B,675.6B,860.6B,771.2B,822.2B,930.3B,930.9B,978.2B,"1,033.5B","1,078.4B","1,194.3B","1,302.1B","1,472.6B","1,535.3B","1,654.8B","1,815.9B","2,072.4B","2,085.9B","2,458.0B","3,031.0B","3,629.2B","3,982.5B","4,727.6B","5,077.9B","5,831.3B","6,371.4B","6,945.0B","8,182.9A","9,580.2A","10,167.7A","10,706.1A","11,471.6A","12,636.6A","13,619.3A","14,896.9A","15,889.0A","16,893.7A","17,389.1A","18,031.4A","18,641.7A","18,623.0A","19,186.8A","19,611.5A","19,964.0A","20,757.9A","21,668.5A","23,045.4A","23,656.4A","25,022.6A","25,251.2A","25,929.5A","26,806.4A","28,252.3A","29,988.2A","31,297.7A","32,285.3A","33,420.9A","34,254.8A","35,518.3A","36,260.8A","37,199.7A","38,265.3A","39,505.7A"
Nova Scotia,312.6B,320.9B,348.1B,358.2B,340.1B,288.4B,233.5B,224.6B,240.3B,260.1B,280.4B,314.3B,310.9B,317.4B,362.6B,427.9B,522.0B,591.2B,635.6B,659.6B,736.8B,751.3B,761.9B,803.0B,836.8B,896.8B,998.1B,"1,037.5B","1,064.4B","1,079.0B","1,139.1B","1,209.8B","1,248.7B","1,311.0B","1,365.9B","1,374.6B","1,427.9B","1,492.8B","1,581.3B","1,691.1B","1,857.1B","2,041.3B","2,205.4B","2,421.9B","2,575.3B","2,799.5B","3,234.4B","3,732.1B","4,412.2B","5,038.0B","5,608.6B","6,214.5B","6,945.5B","7,654.9B","8,338.1B","9,552.3A","10,670.1A","11,413.3A","12,275.0A","13,375.9A","14,080.7A","15,106.2A","16,317.1A","17,358.1A","18,435.9A","19,062.9A","19,569.3A","19,986.5A","20,189.4A","20,540.4A","20,553.5A","21,255.9A","22,437.4A","23,812.8A","24,607.5A","25,512.3A","26,347.5A","27,010.4A","27,983.9A","29,231.3A","30,502.1A","31,916.3A","33,318.9A","34,119.8A","35,275.4A","36,400.3A","37,442.5A","38,658.6A","39,732.2A","41,036.8A","41,826.1A"
New Brunswick,284.2B,282.7B,301.1B,306.2B,287.0B,243.0B,190.2B,178.1B,190.9B,205.4B,226.6B,252.4B,242.7B,253.9B,290.8B,335.8B,397.8B,458.2B,494.5B,547.0B,614.7B,642.8B,695.9B,710.3B,752.5B,827.7B,855.0B,862.3B,888.6B,916.7B,988.1B,"1,015.2B","1,052.7B","1,105.9B","1,160.6B","1,146.1B","1,190.9B","1,265.3B","1,367.5B","1,487.0B","1,670.7B","1,778.1B","1,941.6B","2,125.2B","2,318.3B","2,520.6B","2,862.5B","3,288.2B","3,922.7B","4,537.9B","5,125.5B","5,558.1B","6,111.9B","6,720.0B","7,426.9B","8,564.1A","9,630.3A","10,234.4A","10,949.5A","11,695.2A","12,670.0A","13,636.2A","14,786.1A","15,834.0A","16,687.0A","17,343.8A","18,059.9A","18,482.6A","18,915.3A","19,510.1A","19,661.9A","20,030.3A","21,037.1A","22,162.2A","23,037.5A","23,695.1A","24,462.9A","25,213.7A","26,307.4A","27,232.4A","28,781.8A","31,032.7A","32,793.5A","33,351.4A","34,340.6A","35,527.4A","36,693.8A","37,724.8A","38,908.2A","40,007.0A","41,602.4A"
Quebec,342.0B,354.7B,378.5B,398.6B,370.0B,315.5B,256.2B,234.9B,256.2B,266.9B,284.8B,313.4B,309.6B,319.0B,351.4B,417.6B,489.9B,539.7B,559.4B,574.9B,612.7B,702.6B,789.5B,803.2B,846.5B,953.9B,"1,032.6B","1,075.2B","1,080.0B","1,106.3B","1,190.4B","1,257.1B","1,280.8B","1,315.8B","1,363.1B","1,412.9B","1,498.6B","1,558.9B","1,674.8B","1,809.3B","1,987.6B","2,176.5B","2,313.3B","2,515.1B","2,690.7B","2,903.0B","3,299.3B","3,771.7B","4,455.2B","5,158.1B","5,929.7B","6,575.6B","7,261.7B","8,102.6B","9,156.7B","10,465.5A","11,329.8A","11,944.3A","13,055.1A","14,012.6A","14,935.1A","15,955.1A","17,145.2A","18,193.2A","19,187.1A","19,650.9A","20,107.3A","20,619.6A","20,856.9A","21,321.1A","21,736.5A","22,480.1A","23,263.4A","24,368.1A","26,059.4A","27,170.7A","27,791.0A","28,718.8A","29,914.2A","30,727.0A","32,180.0A","33,341.2A","34,572.8A","34,542.3A","35,452.1A","36,861.5A","38,149.8A","38,867.9A","39,865.3A","41,191.7A","42,200.8A"
Ontario,488.5B,509.1B,537.5B,565.6B,529.2B,450.1B,364.0B,339.7B,372.8B,394.7B,410.8B,458.7B,458.2B,475.5B,544.2B,660.0B,766.0B,842.0B,883.3B,910.3B,919.4B,"1,016.1B","1,138.0B","1,190.1B","1,263.8B","1,421.4B","1,504.9B","1,553.0B","1,547.0B","1,617.3B","1,721.1B","1,804.1B","1,854.5B","1,908.7B","1,950.9B","1,965.0B","2,075.3B","2,174.1B","2,301.8B","2,484.1B","2,739.0B","2,941.0B","3,207.3B","3,533.3B","3,773.2B","3,991.3B","4,433.2B","5,029.0B","5,809.7B","6,583.4B","7,382.8B","8,009.4B","8,764.3B","9,696.8B","10,717.3B","12,396.1A","13,699.2A","14,701.7A","15,894.4A","17,138.7A","18,257.3A","19,536.9A","21,208.0A","22,441.0A","23,265.6A","23,635.9A","24,068.9A","24,325.5A","24,668.2A","25,289.7A","25,650.7A","26,740.5A","27,860.5A","29,057.2A","30,475.3A","31,068.1A","31,233.7A","31,834.3A","33,015.8A","34,066.9A","35,484.3A","37,482.1A","38,157.0A","38,307.2A","39,299.3A","40,429.5A","41,169.1A","42,147.9A","43,134.0A","45,053.7A","46,047.5A"
Manitoba,442.9B,399.5B,463.6B,431.8B,403.5B,305.9B,266.1B,239.3B,265.8B,268.2B,289.2B,367.2B,322.4B,335.7B,379.4B,453.8B,558.3B,597.4B,649.9B,675.1B,784.1B,851.2B,"1,000.6B",991.0B,"1,014.9B","1,161.2B","1,211.2B","1,201.3B","1,164.9B","1,224.6B","1,361.7B","1,359.2B","1,478.4B","1,526.3B","1,578.1B","1,496.6B","1,662.5B","1,668.0B","1,791.2B","1,903.1B","2,050.1B","2,290.3B","2,507.2B","2,649.0B","2,803.1B","3,021.7B","3,357.7B","3,972.1B","4,593.8B","5,303.8B","5,800.4B","6,325.9B","7,034.3B","7,707.2B","8,462.1B","10,326.9A","11,537.2A","11,843.3A","13,174.9A","14,203.3A","14,827.5A","15,397.3A","16,555.8A","17,558.6A","18,871.5A","19,105.0A","19,593.1A","19,946.0A","20,334.2A","20,881.2A","21,282.9A","21,836.4A","22,881.1A","23,593.2A","24,463.2A","25,190.8A","25,824.0A","26,293.3A","27,358.0A","28,288.3A","29,768.7A","31,999.4A","33,596.5A","33,985.1A","34,789.9A","36,128.7A","37,641.6A","38,822.3A","39,557.8A","41,466.8A","41,890.1A"
Saskatchewan,411.2B,421.4B,440.8B,290.5B,247.6B,149.7B,151.5B,119.7B,149.8B,184.8B,179.6B,152.7B,205.4B,277.9B,290.3B,285.6B,602.3B,479.8B,729.6B,596.9B,722.4B,733.5B,895.8B,917.9B,827.6B,"1,225.7B","1,370.1B","1,250.7B",891.9B,"1,140.2B","1,296.4B","1,113.5B","1,224.4B","1,250.4B","1,400.3B","1,132.9B","1,556.4B","1,706.1B","1,560.7B","1,784.3B","1,992.7B","1,888.5B","2,134.4B","2,224.9B","2,156.5B","2,552.7B","2,797.7B","3,704.4B","4,618.2B","5,644.9B","6,047.0B","6,067.7B","6,837.5B","7,558.2B","8,318.8B","10,639.9A","11,877.4A","12,005.0A","12,630.4A","13,444.8A","14,683.3A","13,990.1A","15,068.7A","15,857.7A","17,398.6A","17,858.5A","17,797.9A","18,442.7A","18,961.4A","19,734.0A","20,607.6A","20,757.4A","21,508.2A","22,421.4A","23,333.5A","24,249.2A","24,959.5A","26,066.0A","27,634.3A","28,656.6A","30,579.4A","34,416.5A","38,290.8A","37,925.9A","38,876.8A","41,627.1A","43,554.5A","45,818.1A","45,901.5A","48,070.5A","47,258.9A"
Alberta,492.3B,563.4B,504.0B,432.9B,389.7B,277.8B,235.5B,198.6B,247.0B,250.1B,252.7B,334.5B,354.3B,342.1B,400.3B,413.7B,659.1B,578.1B,723.0B,698.8B,868.1B,944.3B,"1,094.2B","1,067.2B","1,064.0B","1,354.8B","1,399.9B","1,415.0B","1,285.0B","1,368.0B","1,549.0B","1,517.1B","1,639.6B","1,652.6B","1,672.6B","1,677.7B","1,783.5B","1,834.2B","1,898.3B","2,074.5B","2,338.7B","2,503.3B","2,728.1B","2,967.6B","3,128.1B","3,319.5B","3,731.3B","4,370.3B","5,229.3B","6,150.0B","6,878.3B","7,520.8B","8,581.6B","9,849.2B","11,328.0B","13,498.3A","14,508.2A","14,720.2A","15,187.3A","16,706.7A","17,067.9A","17,652.7A","19,297.3A","20,472.1A","21,773.0A","22,352.7A","22,537.9A","23,319.2A","23,588.4A","23,880.6A","24,614.0A","26,035.7A","27,796.2A","28,280.0A","30,255.3A","33,055.7A","33,222.0A","33,979.0A","36,572.2A","39,733.1A","43,547.3A","45,517.2A","47,903.4A","45,644.4A","46,911.3A","49,677.7A","52,669.6A","54,653.3A","56,510.3A","57,909.1A","54,260.8A"
British Columbia,524.2B,538.0B,573.7B,599.1B,546.3B,458.5B,378.3B,352.4B,378.5B,407.2B,433.8B,477.1B,480.0B,484.8B,534.9B,620.2B,739.4B,835.8B,837.8B,872.2B,921.8B,"1,029.7B","1,157.9B","1,191.5B","1,281.5B","1,410.1B","1,519.9B","1,554.2B","1,553.2B","1,639.4B","1,740.3B","1,803.0B","1,782.5B","1,850.3B","1,878.4B","1,880.5B","1,959.8B","2,051.3B","2,183.9B","2,365.3B","2,551.0B","2,729.4B","2,897.0B","3,192.5B","3,361.4B","3,573.3B","4,035.6B","4,722.1B","5,518.1B","6,312.9B","7,136.5B","7,873.3B","8,700.2B","9,694.3B","11,061.0B","12,786.9A","13,635.3A","13,853.1A","14,368.6A","15,290.1A","16,037.0A","17,245.7A","18,630.3A","20,285.4A","21,654.8A","22,253.0A","22,775.6A","23,166.6A","23,596.1A","24,077.5A","24,178.5A","24,643.5A","25,158.2A","25,948.5A","27,020.7A","27,876.7A","28,733.0A","29,405.6A","30,830.2A","32,344.8A","34,915.6A","36,873.3A","37,675.0A","37,123.8A","37,949.1A","39,482.4A","40,619.9A","42,152.4A","43,292.7A","45,411.2A","46,905.0A"
